id,Name,quantity
8-700,saree,0
8-701,saree,0
8-702,saree,0
8-703,saree,0
8-704,saree,0
8-705,saree,0
8-706,saree,0
8-707,saree,0
8-708,saree,0
8-709,saree,0
8-710,saree,0
8-711,saree,0
8-712,saree,0
8-713,saree,0
8-714,saree,0
8-715,saree,0
8-716,saree,0
8-717,saree,0
8-718,saree,0
8-719,saree,0
8-720,saree,0
8-721,saree,0
8-722,saree,0
8-723,saree,0
8-724,saree,0
8-725,saree,0
8-726,saree,0
8-727,saree,0
8-728,saree,0
8-729,saree,0
8-730,saree,0
8-731,saree,0
8-732,saree,0
8-733,saree,0
8-734,saree,0
8-735,saree,0
8-736,saree,0
8-737,saree,0
8-738,saree,0
8-739,saree,0
8-740,saree,0
8-741,saree,0
8-742,saree,0
8-743,saree,0
8-744,saree,0
8-745,saree,0
8-746,saree,0
8-747,saree,0
8-748,saree,0
8-749,saree,0
8-750,saree,0
8-751,saree,0
8-752,saree,0
8-753,saree,0
8-754,saree,0
8-755,saree,0
8-756,saree,0
8-757,saree,0
8-758,saree,0
8-759,saree,0
8-760,saree,0
8-761,saree,0
8-762,saree,0
8-763,saree,0
8-764,saree,0
8-765,saree,0
8-766,saree,0
8-767,saree,0
8-768,saree,0
8-769,saree,0
8-770,saree,0
8-771,saree,0
8-772,saree,0
8-773,saree,0
8-774,saree,0
8-775,saree,0
8-776,saree,0
8-777,saree,0
8-778,saree,0
8-779,saree,0
8-780,saree,0
8-781,saree,0
8-782,saree,0
8-783,saree,0
8-784,saree,0
8-785,saree,0
8-786,saree,0
8-787,saree,0
8-788,saree,0
8-789,saree,0
8-790,saree,0
8-791,saree,0
8-792,saree,0
8-793,saree,0
8-794,saree,0
8-795,saree,0
8-796,saree,0
8-797,saree,0
8-798,saree,0
8-799,saree,0
8-800,saree,0
8-801,saree,0
8-802,saree,0
8-803,saree,0
8-804,saree,0
8-805,saree,0
8-806,saree,0
8-807,saree,0
8-808,saree,0
8-809,saree,0
8-810,saree,0
8-811,saree,0
8-812,saree,0
8-813,saree,0
8-814,saree,0
8-815,saree,0
8-816,saree,0
8-817,saree,0
8-818,saree,0
8-819,saree,0
8-820,saree,0
8-821,saree,0
8-822,saree,0
8-823,saree,0
8-824,saree,0
8-825,saree,0
8-826,saree,0
8-827,saree,0
8-828,saree,0
8-829,saree,0
8-830,saree,0
8-831,saree,0
8-832,saree,0
8-833,saree,0
8-834,saree,0
8-835,saree,0
8-836,saree,0
8-837,saree,0
8-838,saree,0
8-839,saree,0
8-840,saree,0
8-841,saree,0
8-842,saree,0
8-843,saree,0
8-844,saree,0
8-845,saree,0
8-846,saree,0
8-847,saree,0
8-848,saree,0
8-849,saree,0
8-850,saree,0
8-851,saree,0
8-852,saree,0
8-853,saree,0
8-854,saree,0
8-855,saree,0
8-856,saree,0
8-857,saree,0
8-858,saree,0
8-859,saree,0
8-860,saree,0
8-861,saree,0
8-862,saree,0
8-863,saree,0
8-864,saree,0
8-865,saree,0
8-866,saree,0
8-867,saree,0
8-868,saree,0
8-869,saree,0
8-870,saree,0
8-871,saree,0
8-872,saree,0
8-873,saree,0
8-874,saree,0
8-875,saree,0
8-876,saree,0
8-877,saree,0
8-878,saree,0
8-879,saree,0
8-880,saree,0
8-881,saree,0
8-882,saree,0
8-883,saree,0
8-884,saree,0
8-885,saree,0
8-886,saree,0
8-887,saree,0
8-888,saree,0
8-889,saree,0
8-890,saree,0
8-891,saree,0
8-892,saree,0
8-893,saree,0
8-894,saree,0
8-895,saree,0
8-896,saree,0
8-897,saree,0
8-898,saree,0
8-899,saree,0
8-900,saree,0
8-901,saree,0
8-902,saree,0
8-903,saree,0
8-904,saree,0
8-905,saree,0
8-906,saree,0
8-907,saree,0
8-908,saree,0
8-909,saree,0
8-910,saree,0
8-911,saree,0
8-912,saree,0
8-913,saree,0
8-914,saree,0
8-915,saree,0
8-916,saree,0
8-917,saree,0
8-918,saree,0
8-919,saree,0
8-920,saree,0
